experiment_dir,run_dir,suite,engine,node_rank,node,model,model_label,threads,threads_batch,ctx_size,parallel_requests,cache_type_k,cache_type_v,max_tokens,trials_configured,warmup_trials,bench_concurrency,mandatory_only,limit_per_category,category,prompt_id,runs,successful_runs,ttft_s_mean,ttft_s_stdev,tpot_s_mean,tpot_s_stdev,throughput_output_tok_s_mean,throughput_output_tok_s_stdev,goodput_sla_fraction,max_rss_kb,max_vmhwm_kb
measurements/1253766-track-a1-server-sweep,measurements/1253766-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo3_v_turbo3,concurrency,tq,,cna0074,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,3,1,16,0,3,long,long_hpc_case_study,3,0,,,,,,,0.0,5083392,5083392
measurements/1253766-track-a1-server-sweep,measurements/1253766-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo3_v_turbo3,concurrency,tq,,cna0074,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,3,1,16,0,3,long,long_memory_bound_reasoning,3,0,,,,,,,0.0,5083392,5083392
measurements/1253766-track-a1-server-sweep,measurements/1253766-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo3_v_turbo3,concurrency,tq,,cna0074,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,3,1,16,0,3,long,mandatory_long_transformer_cpu,3,3,19.78992736133902,7.703796539697227,1.9520901506414239,0.49775457325386124,0.48790530835728896,0.156239043796757,0.0,5083392,5083392
measurements/1253766-track-a1-server-sweep,measurements/1253766-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo3_v_turbo3,concurrency,tq,,cna0074,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,3,1,16,0,3,medium,mandatory_medium_ml_vs_dl,3,3,19.087883044655126,8.929178078424085,2.1522608542886807,0.11403376975868929,0.4396870462919674,0.03690821501356081,0.0,5083392,5083392
measurements/1253766-track-a1-server-sweep,measurements/1253766-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo3_v_turbo3,concurrency,tq,,cna0074,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,3,1,16,0,3,medium,medium_cpu_inference_pipeline,3,3,20.173861976664437,7.043587297170172,2.1231769759186117,0.1643992632150488,0.4445670621327206,0.045356750755022684,0.0,5083392,5083392
measurements/1253766-track-a1-server-sweep,measurements/1253766-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo3_v_turbo3,concurrency,tq,,cna0074,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,3,1,16,0,3,medium,medium_quant_tradeoff,3,3,19.791934849995112,7.705785586135052,1.784106859519697,0.7517162208551188,0.6142458566504807,0.3392513727240922,0.0,5083392,5083392
measurements/1253766-track-a1-server-sweep,measurements/1253766-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo3_v_turbo3,concurrency,tq,,cna0074,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,3,1,16,0,3,short,mandatory_short_capital_france,3,3,12.79511418932816,12.086899816412394,4.389903621054449,2.5877902936078234,0.1729642149679907,0.03954458048917271,0.0,5083392,5083392
measurements/1253766-track-a1-server-sweep,measurements/1253766-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo3_v_turbo3,concurrency,tq,,cna0074,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,3,1,16,0,3,short,short_cpu_quantisation,3,3,20.827724875998683,5.918016133271875,2.1861245245092213,0.05540148659863199,0.4294107317419583,0.019118094150710647,0.0,5083392,5083392
measurements/1253766-track-a1-server-sweep,measurements/1253766-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo3_v_turbo3,concurrency,tq,,cna0074,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo3,turbo3,128,3,1,16,0,3,short,short_threading_definition,3,3,18.272427603330772,10.342541021216528,2.161699915897627,0.09770745469643509,0.43899477111563456,0.03571263495276099,0.0,5083392,5083392
measurements/1253766-track-a1-server-sweep,measurements/1253766-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo4_v_turbo4,concurrency,tq,,cna0024,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo4,turbo4,128,3,1,16,0,3,long,long_hpc_case_study,3,0,,,,,,,0.0,5128768,5128768
measurements/1253766-track-a1-server-sweep,measurements/1253766-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo4_v_turbo4,concurrency,tq,,cna0024,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo4,turbo4,128,3,1,16,0,3,long,long_memory_bound_reasoning,3,0,,,,,,,0.0,5128768,5128768
measurements/1253766-track-a1-server-sweep,measurements/1253766-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo4_v_turbo4,concurrency,tq,,cna0024,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo4,turbo4,128,3,1,16,0,3,long,mandatory_long_transformer_cpu,3,3,17.435291567322565,5.886237087560918,1.8808017053924067,0.49433136938835626,0.5114836154096943,0.16409405976993546,0.0,5128768,5128768
measurements/1253766-track-a1-server-sweep,measurements/1253766-track-a1-server-sweep/concurrency/tq/model-1-mandatory/t_24_c_2048_p_16_n_128_k_turbo4_v_turbo4,concurrency,tq,,cna0024,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,24,24,2048,16,turbo4,turbo4,128,3,1,16,0,3,medium,mandatory_medium_ml_vs_dl,3,3,16.7560933510055,7.0709292629087495,2.069675013217788,0.11292539201831542,0.4596660496172697,0.03683248328186761,0.0,5128768,5128768
