arch,cache_type_k,cache_type_v,category,ctx_size,engine,experiment_dir,goodput_sla_fraction_mean,max_tokens,max_vmhwm_kb,model,model_label,parallel_requests,prompt_id,replica_count,source,successful_runs,suite,threads,threads_batch,total_throughput_output_tok_s_mean,tpot_s_mean_across_replicas,ttft_s_mean_across_replicas
unknown,turbo2,turbo2,long,2048,tq,measurements/1256104-track-a1-server-sweep,1.0,128,5035328.0,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,1,long_hpc_case_study,1,measurements/a1_all_results_scaling_summary.csv,3,concurrency,24,24,5.873774169057482,0.17011586401840426,0.18666733699501492
unknown,turbo2,turbo2,long,2048,tq,measurements/1256104-track-a1-server-sweep,1.0,128,5035328.0,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,1,long_memory_bound_reasoning,1,measurements/a1_all_results_scaling_summary.csv,3,concurrency,24,24,6.103834807777084,0.1636995954382975,0.18020218933331003
unknown,turbo2,turbo2,long,2048,tq,measurements/1256104-track-a1-server-sweep,1.0,128,5035328.0,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,1,mandatory_long_transformer_cpu,1,measurements/a1_all_results_scaling_summary.csv,3,concurrency,24,24,6.555066725116684,0.15244848047775916,0.16550001466142325
unknown,turbo2,turbo2,medium,2048,tq,measurements/1256104-track-a1-server-sweep,1.0,128,5035328.0,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,1,mandatory_medium_ml_vs_dl,1,measurements/a1_all_results_scaling_summary.csv,3,concurrency,24,24,7.30152308059399,0.1368480697874236,0.15044644232936358
unknown,turbo2,turbo2,medium,2048,tq,measurements/1256104-track-a1-server-sweep,1.0,128,5035328.0,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,1,medium_cpu_inference_pipeline,1,measurements/a1_all_results_scaling_summary.csv,3,concurrency,24,24,6.934638896846105,0.14409681185303114,0.1573209196649259
unknown,turbo2,turbo2,medium,2048,tq,measurements/1256104-track-a1-server-sweep,1.0,128,5035328.0,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,1,medium_quant_tradeoff,1,measurements/a1_all_results_scaling_summary.csv,3,concurrency,24,24,7.012838670402261,0.1424848213175778,0.1562120416686715
unknown,turbo2,turbo2,short,2048,tq,measurements/1256104-track-a1-server-sweep,1.0,128,5035328.0,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,1,mandatory_short_capital_france,1,measurements/a1_all_results_scaling_summary.csv,3,concurrency,24,24,3.2755143795190005,0.12856343155565103,1.2364859540005757
unknown,turbo2,turbo2,short,2048,tq,measurements/1256104-track-a1-server-sweep,0.0,128,5035328.0,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,1,short_cpu_quantisation,1,measurements/a1_all_results_scaling_summary.csv,3,concurrency,24,24,6.056994825934668,0.13809368672968303,3.594267384997996
unknown,turbo2,turbo2,short,2048,tq,measurements/1256104-track-a1-server-sweep,1.0,128,5035328.0,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,1,short_threading_definition,1,measurements/a1_all_results_scaling_summary.csv,3,concurrency,24,24,7.275533647636507,0.13734254646193683,0.15024251466578184
unknown,turbo3,turbo3,long,2048,tq,measurements/1256104-track-a1-server-sweep,1.0,128,5063552.0,/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/llamacpp-tq/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,model-1-mandatory,1,long_hpc_case_study,1,measurements/a1_all_results_scaling_summary.csv,3,concurrency,24,24,5.3114213936007415,0.1881608337270028,0.20222808566177264
