run_dir,prompt_id,category,trial,model,threads,ctx_size,max_tokens,status,error,quality_label,quality_score,quality_max_score,quality_notes,generated_text
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling/node-scaling-n12/node_count_12/rpc_coordinator_cna0870/t_46_c_2048_p_1_n_64_k_f16_v_f16,mandatory_short_capital_france,short,1,,,,64,200,,missing,0,1,empty generated output,
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling/node-scaling-n12/node_count_12/rpc_coordinator_cna0870/t_46_c_2048_p_1_n_64_k_f16_v_f16,mandatory_medium_ml_vs_dl,medium,1,,,,64,200,,missing,0,1,empty generated output,
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling/node-scaling-n12/node_count_12/rpc_coordinator_cna0870/t_46_c_2048_p_1_n_64_k_f16_v_f16,mandatory_long_transformer_cpu,long,1,,,,64,200,,missing,0,1,empty generated output,
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling/node-scaling-n16/node_count_16/rpc_coordinator_cna0874/t_46_c_2048_p_1_n_64_k_f16_v_f16,mandatory_short_capital_france,short,1,,,,64,200,,missing,0,1,empty generated output,
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling/node-scaling-n16/node_count_16/rpc_coordinator_cna0874/t_46_c_2048_p_1_n_64_k_f16_v_f16,mandatory_medium_ml_vs_dl,medium,1,,,,64,200,,missing,0,1,empty generated output,
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling/node-scaling-n16/node_count_16/rpc_coordinator_cna0874/t_46_c_2048_p_1_n_64_k_f16_v_f16,mandatory_long_transformer_cpu,long,1,,,,64,200,,missing,0,1,empty generated output,
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling/node-scaling-n6/node_count_6/rpc_coordinator_cna0864/t_46_c_2048_p_1_n_64_k_f16_v_f16,mandatory_short_capital_france,short,1,,,,64,200,,missing,0,1,empty generated output,
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling/node-scaling-n6/node_count_6/rpc_coordinator_cna0864/t_46_c_2048_p_1_n_64_k_f16_v_f16,mandatory_medium_ml_vs_dl,medium,1,,,,64,200,,missing,0,1,empty generated output,
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling/node-scaling-n6/node_count_6/rpc_coordinator_cna0864/t_46_c_2048_p_1_n_64_k_f16_v_f16,mandatory_long_transformer_cpu,long,1,,,,64,200,,missing,0,1,empty generated output,
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling/node-scaling-n8/node_count_8/rpc_coordinator_cna0866/t_46_c_2048_p_1_n_64_k_f16_v_f16,mandatory_short_capital_france,short,1,,,,64,200,,missing,0,1,empty generated output,
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling/node-scaling-n8/node_count_8/rpc_coordinator_cna0866/t_46_c_2048_p_1_n_64_k_f16_v_f16,mandatory_medium_ml_vs_dl,medium,1,,,,64,200,,missing,0,1,empty generated output,
/projects/F202500010HPCVLABUMINHO/uminhocp006/aded-project-llamacpp/measurements/1261455-track-a1-gptoss-120b-node-scaling/node-scaling-n8/node_count_8/rpc_coordinator_cna0866/t_46_c_2048_p_1_n_64_k_f16_v_f16,mandatory_long_transformer_cpu,long,1,,,,64,200,,missing,0,1,empty generated output,
